Posicao,acao,PL,cotacao,PVP,PSR,DY,PAtivo,PCapGiro,PEBIT,PACL,EVEBIT,EVEBITDA,MrgEbit,MrgLiq,LiqCorr,ROIC,ROE,Liq2meses,PatLiq,DivBrutPat,Cresc5anos
308,CRPG6,10.73,107.00,3.64,3.212,0.046,2.665,3.82,12.58,4.95,10.89,9.93,0.2553,0.2995,7.38,0.3513,0.3394,82504.40,852950000.00,0.00,0.1232
309,LAVV3,10.74,5.24,0.88,2.677,0.1338,0.647,1.01,8.80,1.11,2.49,2.48,0.3042,0.3238,5.04,0.148,0.0823,11538000.00,1234090000.00,0.04,0.00
310,CRFB3,10.74,16.83,2.05,0.445,0.028,0.648,-78.25,6.79,-3.56,8.31,6.75,0.0656,0.0435,0.98,0.1238,0.1911,86125300.00,16281000000.00,0.59,0.131
311,SEER3,10.91,12.65,1.11,1.261,0.0289,0.500,4.61,9.35,-1.85,9.87,4.90,0.1348,0.1156,1.63,0.0635,0.1018,9634630.00,1466360000.00,0.38,0.0202
312,IGTA3,10.93,28.62,1.46,7.255,0.0099,0.719,4.87,17.55,-2.56,24.04,15.79,0.4135,0.6638,2.87,0.0504,0.1338,69730400.00,3455190000.00,0.92,0.0056
313,FRAS3,10.94,13.88,2.96,1.319,0.0265,1.086,4.44,9.51,-7.67,11.22,8.41,0.1387,0.1198,2.00,0.1429,0.2709,2336780.00,1019440000.00,0.81,0.2785
314,EMAE4,10.95,76.18,3.63,5.883,0.1128,1.853,7.17,16.73,-12.18,15.13,14.62,0.3517,0.5373,4.26,0.1354,0.3318,173955.00,774892000.00,0.00,0.2674
315,MOVI3,10.99,15.29,2.16,1.370,0.0213,0.390,1.28,6.44,-1.09,10.75,7.71,0.2128,0.1247,2.95,0.1178,0.197,44985500.00,2558850000.00,3.62,0.1889
316,CGAS3,11.15,140.00,12.43,1.934,0.0607,1.579,13.01,8.45,-2.97,10.54,8.88,0.2288,0.1735,1.55,0.2491,1.115,6015.60,1492840000.00,4.13,0.1734
317,DIRR3,11.15,10.18,1.31,0.933,0.0693,0.281,0.70,5.12,-1.05,6.06,5.24,0.1822,0.1115,5.35,0.0678,0.1171,18840600.00,1169250000.00,1.05,0.1771
318,JSLG3,11.18,7.73,1.72,34.236,0.0174,0.378,1.90,82.99,-0.88,170.07,-23.92,0.4125,3.1041,2.29,0.0054,0.1537,5564580.00,1258930000.00,2.33,-0.6011
319,LEVE3,11.21,38.33,3.13,1.541,0.0242,1.814,6.47,7.79,14.49,7.74,6.66,0.1979,0.1374,2.05,0.2963,0.2795,29037200.00,1569890000.00,0.14,0.0675
320,CRIV4,11.21,5.52,0.57,0.000,0.0822,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0507,10974.60,1000120000.00,0.00,-0.0433
321,VULC3,11.34,9.42,1.88,1.490,0.00,1.215,2.96,18.07,3.73,19.72,12.77,0.0825,0.1314,2.53,0.0772,0.1656,9193510.00,1232120000.00,0.31,-0.0053
322,BBSE3,11.58,21.67,6.28,0.000,0.046,3.807,0.00,9.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.5426,128992000.00,6897000000.00,0.00,0.00
323,CGAS5,11.62,145.97,12.96,2.016,0.064,1.646,13.56,8.81,-3.10,10.91,9.19,0.2288,0.1735,1.55,0.2491,1.115,417100.00,1492840000.00,4.13,0.1734
324,PTBL3,11.74,10.33,3.96,0.941,0.0534,0.808,17.01,6.19,-2.22,8.01,6.36,0.1519,0.0802,1.12,0.1639,0.3374,24880800.00,403103000.00,1.60,0.1161
325,KLBN4,11.86,4.54,4.78,1.829,0.00,0.666,3.07,7.26,-1.34,12.61,9.03,0.2519,0.1632,2.79,0.1262,0.4032,3955660.00,5335410000.00,5.06,0.1442
326,UCAS3,11.96,4.29,1.79,1.537,0.0497,1.161,5.13,11.27,8.33,9.74,7.15,0.1364,0.1285,1.85,0.1385,0.15,205338.00,158007000.00,0.11,0.0125
327,JOPA3,11.99,28.00,0.55,0.168,0.0306,0.143,0.41,3.21,7.75,7.73,6.54,0.0525,0.0181,2.05,0.0675,0.0462,5899.72,534243000.00,1.98,0.1164
328,PARD3,12.15,20.83,3.34,1.416,0.0129,1.319,12.40,6.92,-5.93,7.23,5.65,0.2046,0.1166,1.39,0.2378,0.2747,10125600.00,817431000.00,0.39,0.1452
329,TIMS3,12.21,11.87,1.21,1.613,0.0373,0.655,5.63,8.82,-3.90,7.93,2.91,0.183,0.1321,1.67,0.0955,0.099,75368700.00,23774500000.00,0.18,0.0401
330,MULT3,12.34,17.57,1.65,10.157,0.0259,0.985,10.44,22.74,-4.20,27.13,18.86,0.4467,0.8233,2.25,0.049,0.1341,145833000.00,6378840000.00,0.50,-0.0101
331,KLBN11,12.64,24.20,5.10,1.950,0.00,0.710,3.27,7.74,-1.43,13.09,9.37,0.2519,0.1632,2.79,0.1262,0.4032,170787000.00,5335410000.00,5.06,0.1442
332,OFSA3,12.74,28.01,2.51,1.787,0.0151,1.422,3.24,9.97,8.82,11.09,9.46,0.1793,0.1403,3.82,0.1819,0.1969,650986.00,602282000.00,0.56,0.1585
333,QUAL3,12.98,18.30,3.08,2.499,0.1197,1.173,-7.01,6.34,-4.20,7.42,5.22,0.3938,0.1959,0.67,0.2641,0.237,57045800.00,1689510000.00,0.99,0.0026
334,SMTO3,12.98,36.72,2.90,2.843,0.033,0.992,6.54,10.20,-2.68,13.59,6.50,0.2787,0.2191,2.11,0.1121,0.2237,45027800.00,4476400000.00,1.26,0.1154
335,ASAI3,13.00,16.11,11.32,0.745,0.0045,1.059,15.89,9.59,-2.36,11.82,10.79,0.0776,0.0601,1.17,0.1972,0.8701,250601000.00,1917000000.00,4.97,0.00
336,EGIE3,13.05,37.87,3.78,2.313,0.0689,0.817,10.27,5.48,-1.48,7.84,6.74,0.4217,0.1772,1.53,0.1762,0.2899,57598500.00,8166660000.00,2.25,0.1897
337,TUPY3,13.20,21.12,1.21,0.533,0.0065,0.490,1.55,5.84,-23.60,7.33,4.35,0.0914,0.0404,2.23,0.128,0.092,18871800.00,2506480000.00,0.82,0.1147
338,EQPA3,13.22,5.05,3.13,1.709,0.0693,0.894,3.90,7.15,-3.36,8.02,6.63,0.239,0.1293,2.04,0.1752,0.2369,51018.00,3562880000.00,1.19,0.0665
339,WHRL4,13.24,8.55,6.43,1.169,0.0564,1.623,17.39,10.95,50.57,9.79,8.32,0.1068,0.0884,1.14,0.5587,0.4854,110945.00,1998990000.00,0.38,0.0383
340,MTRE3,13.39,6.74,0.73,1.301,0.0663,0.528,0.99,11.62,1.14,4.55,4.30,0.112,0.1005,3.67,0.0737,0.0542,7378930.00,981456000.00,0.06,0.8516
341,WLMM4,13.43,34.01,2.41,0.788,0.0185,1.932,5.23,10.89,6.82,9.90,9.58,0.0724,0.0587,4.29,0.2289,0.1797,62430.60,513221000.00,0.02,0.3575
342,GRND3,13.50,8.71,2.01,3.345,0.0758,1.860,3.12,16.58,3.23,13.70,11.54,0.2017,0.2478,11.61,0.1747,0.1491,24496200.00,3903240000.00,0.02,-0.01
343,FLRY3,13.61,19.50,3.53,1.709,0.0442,1.165,-540.54,8.05,-2.96,10.36,7.04,0.2122,0.1256,0.99,0.1734,0.2594,42407600.00,1757010000.00,1.36,0.1056
344,HYPE3,13.70,27.96,1.83,3.252,0.054,0.883,5.20,10.99,-5.02,13.64,12.64,0.296,0.2373,1.99,0.0973,0.1335,104337000.00,9680530000.00,0.77,0.0929
345,LCAM3,13.70,21.00,2.34,1.592,0.018,0.765,141.44,7.59,-1.62,11.15,8.19,0.2098,0.1162,1.03,0.135,0.1709,70883200.00,4561340000.00,1.48,0.6602
346,BSLI4,13.86,18.75,3.17,0.000,0.0239,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.2286,8357.23,2149190000.00,0.00,0.0863
347,CARD3,13.89,17.94,2.43,1.545,0.0279,1.394,39.67,9.51,-10.48,9.95,5.66,0.1625,0.1113,1.14,0.1854,0.175,7738570.00,308638000.00,0.37,0.0064
348,MRSA3B,13.93,35.70,2.52,2.939,0.00,1.096,-19.62,10.27,-2.52,11.59,6.25,0.2863,0.211,0.70,0.1224,0.1812,180.70,4808900000.00,0.52,0.0288
349,DOHL3,13.95,23.49,2.61,2.727,0.02,2.013,4.62,20.08,6.56,20.16,17.33,0.1358,0.1954,5.32,0.1079,0.1872,273.14,680327000.00,0.07,0.0798
350,PDTC3,14.14,6.90,4.32,1.798,0.00,1.367,3.53,23.09,11.69,23.84,23.84,0.0778,0.1271,1.94,0.0841,0.3053,1696800.00,125417000.00,0.65,11.6483
351,CTSA3,14.22,2.20,0.81,0.429,0.00,0.342,19.06,12.49,-2.57,22.40,13.63,0.0343,0.0301,1.04,0.0346,0.0572,47071.60,300760000.00,0.72,0.0769
352,LOGN3,14.28,21.40,5.68,1.784,0.00,1.044,4.36,12.85,-2.63,17.35,10.46,0.1388,0.125,2.33,0.1178,0.398,22041900.00,398599000.00,3.38,0.1434
353,ENMT3,14.71,79.90,5.82,2.921,0.0578,1.689,27.24,11.76,-3.80,13.78,11.81,0.2484,0.1986,1.30,0.1653,0.3953,186563.00,3007940000.00,1.27,0.126
354,ENMT4,14.71,79.90,5.82,2.921,0.0578,1.689,27.24,11.76,-3.80,13.78,11.81,0.2484,0.1986,1.30,0.1653,0.3953,84897.00,3007940000.00,1.27,0.126
355,WLMM3,14.81,37.50,2.66,0.869,0.0152,2.131,5.76,12.01,7.52,11.02,10.66,0.0724,0.0587,4.29,0.2289,0.1797,5738.56,513221000.00,0.02,0.3575
356,KEPL3,14.89,35.69,1.67,1.167,0.2979,0.948,3.81,10.77,4.29,6.96,5.45,0.1084,0.0783,1.62,0.1544,0.1119,11632000.00,649707000.00,0.02,0.1254
357,CXSE3,14.90,9.04,2.60,0.000,0.00,2.582,55.60,-461.56,55.71,-454.28,-454.53,0.00,0.00,8.55,-0.0058,0.1744,31523500.00,10436800000.00,0.00,0.00
358,SIMH3,14.91,11.79,3.65,0.868,0.0073,0.284,0.89,5.19,-0.72,11.17,7.20,0.1674,0.0827,3.05,0.0971,0.245,35209300.00,2627330000.00,8.83,0.00
359,VITT3,15.17,9.12,4.54,2.157,0.00,1.927,11.89,12.43,25.90,14.50,13.35,0.1736,0.1488,1.34,0.177,0.2992,1917610.00,287352000.00,0.90,0.00
360,KLBN3,15.54,5.95,6.27,2.397,0.00,0.873,4.02,9.52,-1.76,14.86,10.64,0.2519,0.1632,2.79,0.1262,0.4032,938193.00,5335410000.00,5.06,0.1442
361,CSAN3,15.65,20.92,3.80,2.072,0.0123,0.496,4.21,14.13,-1.04,25.01,17.20,0.1466,0.1518,1.95,0.0412,0.2428,203272000.00,10315900000.00,3.75,0.2673
362,MRSA5B,15.72,40.29,2.85,3.317,0.017,1.236,-22.14,11.59,-2.85,12.91,6.97,0.2863,0.211,0.70,0.1224,0.1812,93.70,4808900000.00,0.52,0.0288
363,VIVT3,15.73,44.56,1.10,1.733,0.0716,0.662,88.68,13.61,-3.64,14.42,4.65,0.1273,0.1102,1.04,0.0565,0.0697,118028000.00,68769700000.00,0.19,0.003
364,JOPA4,15.85,37.00,0.73,0.223,0.0255,0.189,0.55,4.24,10.24,8.76,7.41,0.0525,0.0181,2.05,0.0675,0.0462,833.74,534243000.00,1.98,0.1164
365,EVEN3,16.16,6.81,0.82,0.689,0.1112,0.257,0.60,4.19,1.10,1.65,1.60,0.1642,0.0626,2.23,0.0809,0.0508,13641200.00,1759430000.00,0.24,0.0774
366,ABEV3,16.20,15.00,2.99,3.550,0.0327,1.897,60.33,15.38,-20.30,14.63,11.04,0.2309,0.2242,1.14,0.1668,0.1847,367298000.00,78889800000.00,0.04,0.0858
367,MDIA3,16.24,30.26,1.55,1.425,0.0201,0.996,3.61,38.39,16.99,39.41,19.42,0.0371,0.0877,2.97,0.0329,0.0954,28982000.00,6620240000.00,0.28,0.0796
368,BRPR3,16.40,7.37,0.48,10.817,0.0277,0.312,11.62,15.64,-1.12,24.22,24.09,0.6917,0.6597,1.56,0.0213,0.0294,25051000.00,7248930000.00,0.36,-0.0805
369,B3SA3,16.51,12.62,3.41,7.485,0.065,1.561,10.50,11.71,-11.12,10.46,9.00,0.6392,0.4534,1.59,0.213,0.2064,692069000.00,22692700000.00,0.44,0.373
370,ENEV3,16.67,14.00,2.16,4.791,0.00,1.058,10.59,16.91,-3.00,22.29,14.70,0.2834,0.2873,2.71,0.0719,0.1296,101106000.00,8202370000.00,0.90,0.1208
371,BLAU3,17.84,33.30,3.84,4.466,0.0038,2.581,4.39,12.21,5.93,11.17,10.81,0.3659,0.2503,4.34,0.399,0.2154,16642000.00,1554540000.00,0.32,0.1941
372,BPAC5,18.10,5.66,1.85,0.000,0.0187,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1024,100920.00,35043600000.00,0.00,0.2715
373,MNPR3,18.16,9.39,-0.18,0.233,0.00,0.268,-0.17,1.52,-0.13,1.53,1.32,0.1538,0.0129,0.22,0.1865,-0.0099,154958.00,-370928000.00,-0.00,0.1057
374,WSON33,18.25,67.00,2.22,2.411,0.0725,0.904,30.32,5.46,-2.01,8.13,8.13,0.4414,0.1358,1.26,0.1836,0.1217,1812830.00,2148530000.00,1.21,0.0523
375,ELET5,18.26,65.00,1.36,3.750,0.00,0.563,4.19,-106.99,-1.84,-131.56,141.99,-0.0351,0.2067,1.95,-0.0062,0.0742,799.65,75253600000.00,0.63,-0.0896
376,CEDO4,18.80,6.07,0.44,0.075,0.00,0.079,-1.45,1.12,-0.24,4.73,3.57,0.0672,0.0004,0.90,0.0878,0.0236,34104.30,136914000.00,1.58,0.0629
377,LAME4,18.82,5.41,1.56,0.412,0.0393,0.235,0.76,5.84,-8.27,8.42,4.22,0.0705,0.0179,2.05,0.0743,0.0831,178646000.00,6526520000.00,2.75,0.0816
378,EQPA5,18.85,7.20,4.46,2.437,0.0486,1.275,5.57,10.20,-4.79,11.07,9.14,0.239,0.1293,2.04,0.1752,0.2369,11569.00,3562880000.00,1.19,0.0665
379,INTB3,18.88,27.43,4.95,3.291,0.006,3.049,5.52,28.42,6.97,26.82,24.75,0.1158,0.1744,3.08,0.1961,0.2623,61791600.00,1815260000.00,0.23,0.00
380,MELK3,18.88,4.00,0.72,1.368,0.0016,0.451,0.75,14.81,0.83,4.69,4.23,0.0924,0.0862,3.08,0.0471,0.0379,6971050.00,1163170000.00,0.06,0.00
381,UGPA3,18.99,13.50,1.56,0.156,0.0474,0.418,1.97,7.95,-1.83,14.11,8.32,0.0196,0.0086,1.76,0.0781,0.082,126152000.00,9664740000.00,1.85,0.0459
382,ODPV3,19.06,13.09,6.40,3.900,0.0464,3.443,-1051.50,11.95,-35.93,11.12,10.64,0.3264,0.2051,0.99,0.384,0.3356,18139800.00,1087060000.00,0.00,0.0699
383,PRNR3,19.07,7.82,1.33,0.971,0.00,0.863,2.72,18.30,3.81,17.32,7.52,0.0531,0.0542,2.22,0.0617,0.0696,984147.00,228831000.00,0.24,0.0065
384,EQPA7,19.11,7.30,4.53,2.471,0.0479,1.293,5.64,10.34,-4.86,11.21,9.26,0.239,0.1293,2.04,0.1752,0.2369,21448.90,3562880000.00,1.19,0.0665
385,LPSB3,19.22,2.50,2.00,1.729,0.00,0.930,3.62,5.96,-8.58,3.84,2.94,0.2901,0.175,2.40,0.2426,0.1041,3430390.00,184405000.00,0.00,0.1461
386,LAME3,19.34,5.56,1.61,0.424,0.0383,0.242,0.79,6.00,-8.50,8.58,4.30,0.0705,0.0179,2.05,0.0743,0.0831,39006100.00,6526520000.00,2.75,0.0816
387,PTNT3,19.51,21.57,3.75,1.367,0.00,1.435,7.03,14.32,471.77,15.82,11.07,0.0954,0.097,1.63,0.1346,0.1924,907448.00,276016000.00,0.76,0.0966
388,BSLI3,19.58,26.50,4.48,0.000,0.0154,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.2286,13268.70,2149190000.00,0.00,0.0863
389,BRFS3,19.74,22.01,2.14,0.410,0.00,0.360,3.45,6.06,-0.96,11.24,5.97,0.0676,0.0207,1.30,0.0962,0.1087,164310000.00,8337030000.00,2.71,0.0634
390,BRGE12,19.87,6.94,0.41,92.124,0.0001,0.167,0.40,-1.17,0.89,2.39,2.39,-78.6451,6.1209,3.25,-0.2883,0.0208,951.02,1235180000.00,0.00,-0.2425
391,BALM4,20.36,14.45,1.21,0.967,0.0284,0.678,1.63,10.09,2.46,8.74,7.16,0.0959,0.043,2.57,0.0858,0.0593,28535.70,117371000.00,0.14,0.0887
392,FESA4,20.40,51.34,2.31,2.415,0.0264,1.561,6.46,9.51,50.67,9.65,7.14,0.2541,0.1184,3.16,0.1961,0.1132,36510400.00,1963930000.00,0.23,0.1257
393,BAUH4,20.63,87.98,4.73,2.446,0.0077,3.115,212.60,57.30,-436.72,55.43,36.56,0.0427,0.1186,1.05,0.077,0.2292,9746.26,97174000.00,0.00,0.0515
394,FESA3,20.66,52.00,2.34,2.446,0.0237,1.581,6.54,9.63,51.33,9.77,7.23,0.2541,0.1184,3.16,0.1961,0.1132,24520.40,1963930000.00,0.23,0.1257
395,SOND6,20.86,35.51,1.59,1.283,0.2372,1.105,3.65,25.25,6.41,19.12,12.60,0.0508,0.0615,2.74,0.0604,0.0762,665.26,54910000.00,0.00,0.0516
396,RPAD6,21.25,5.29,0.44,0.000,0.00,0.434,41.98,-108.81,42.44,-105.65,-105.65,0.00,0.00,4.26,-0.004,0.0205,595.40,1028950000.00,0.00,-0.0694
397,CEDO3,21.44,6.92,0.51,0.085,0.00,0.090,-1.65,1.27,-0.28,4.88,3.69,0.0672,0.0004,0.90,0.0878,0.0236,6572.77,136914000.00,1.58,0.0629
398,BRGE3,21.81,7.62,0.45,101.150,0.0001,0.183,0.44,-1.29,0.97,2.27,2.28,-78.6451,6.1209,3.25,-0.2883,0.0208,596.88,1235180000.00,0.00,-0.2425
399,GMAT3,21.87,7.67,2.83,1.179,0.00,1.935,3.70,18.77,4.98,18.29,14.76,0.0628,0.054,3.99,0.1497,0.1294,42940600.00,5987410000.00,0.21,0.00
400,RENT3,21.90,47.85,5.29,3.174,0.0083,1.694,29.67,14.15,-4.06,16.91,14.41,0.2242,0.1449,1.28,0.1582,0.2415,357782000.00,6863440000.00,1.63,0.2151
401,SOND5,21.97,37.40,1.67,1.351,0.2252,1.164,3.84,26.59,6.75,20.46,13.49,0.0508,0.0615,2.74,0.0604,0.0762,2844.05,54910000.00,0.00,0.0516
402,SCAR3,22.13,35.99,1.33,5.953,0.0102,0.694,6.17,9.53,-2.24,14.28,11.70,0.6244,0.2738,3.15,0.0814,0.06,344164.00,1564770000.00,0.86,-0.1234
403,SOJA3,22.26,13.80,3.00,2.736,0.00,1.630,3.36,17.08,3.85,16.55,16.23,0.1602,0.1229,2.23,0.1245,0.1348,3734310.00,538581000.00,0.25,0.00
404,MYPK3,22.47,17.21,0.74,0.226,0.00,0.200,1.85,3.86,-0.85,9.72,5.23,0.0587,0.0184,1.30,0.0676,0.0327,30126100.00,3599250000.00,1.49,0.1098
405,PNVL3,22.86,11.98,1.76,0.594,0.0148,0.841,2.77,23.06,13.79,29.43,10.67,0.0258,0.026,2.09,0.0457,0.0769,15806300.00,1024750000.00,0.65,0.09
406,GUAR3,22.97,11.86,1.19,0.890,0.0368,0.457,1.78,39.43,-21.89,49.53,10.88,0.0226,0.0388,1.76,0.0147,0.0519,10670100.00,4963500000.00,0.70,0.0165
407,BMIN4,23.07,18.00,0.69,0.000,0.1083,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0299,15821.70,125936000.00,0.00,-0.2005
408,PGMN3,23.30,10.04,2.18,0.612,0.00,0.782,3.60,11.16,-8.53,12.19,7.46,0.0548,0.0263,1.65,0.0967,0.0936,14617000.00,2043750000.00,0.39,0.0718
409,BALM3,23.95,17.00,1.42,1.138,0.02,0.798,1.92,11.87,2.89,10.52,8.62,0.0959,0.043,2.57,0.0858,0.0593,3272.00,117371000.00,0.14,0.0887
410,BPAN4,23.97,14.60,3.17,0.000,0.0145,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.132,132690000.00,5558560000.00,0.00,0.1186
411,PRIO3,24.00,26.48,4.29,7.633,0.00,2.214,5.04,20.19,53.53,19.62,11.36,0.378,0.3181,6.10,0.1974,0.1788,549512000.00,5421760000.00,0.71,0.568
412,BPAC11,24.32,22.82,2.49,0.000,0.0139,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1024,360453000.00,35043600000.00,0.00,0.2715
413,BRGE11,24.65,8.61,0.51,114.292,0.0427,0.207,0.50,-1.45,1.10,2.11,2.11,-78.6451,6.1209,3.25,-0.2883,0.0208,191.70,1235180000.00,0.00,-0.2425
414,BMOB3,24.78,13.22,1.18,5.382,0.00,1.128,1.55,16.09,1.55,6.58,4.93,0.3346,0.2172,17.01,0.2231,0.0478,19171500.00,1014640000.00,0.00,0.00
415,HGTX3,25.62,37.50,3.83,4.615,0.0087,2.702,7.46,61.27,9.77,61.18,32.69,0.0753,0.1801,2.73,0.0576,0.1496,38422900.00,1589850000.00,0.12,-0.0505
416,TECN3,25.72,3.31,0.81,0.853,0.00,0.416,0.93,4.46,3.58,4.88,6.22,0.1912,0.0331,3.88,0.1216,0.0315,16392700.00,321252000.00,0.42,-0.0513
417,LJQQ3,26.18,12.94,4.73,1.283,0.0066,0.995,2.86,11.56,-12.46,10.54,7.89,0.111,0.049,1.96,0.1325,0.1806,34807100.00,512454000.00,0.65,0.00
418,RDNI3,26.30,11.30,0.80,1.495,0.0009,0.282,1.24,-8677.21,-1.40,-16199.70,189.80,-0.0002,0.078,2.09,-0.00,0.0303,337059.00,621605000.00,0.77,0.0173
419,AFLT3,27.63,8.65,3.18,14.825,0.0508,2.882,15.94,26.28,25.52,25.70,25.50,0.564,0.5365,8.22,0.1184,0.115,4345.26,171738000.00,0.00,0.0878
420,BMIN3,28.51,22.25,0.85,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0299,310.35,125936000.00,0.00,-0.2005
421,BRGE8,28.60,9.99,0.60,132.611,0.0307,0.240,0.58,-1.69,1.28,1.87,1.88,-78.6451,6.1209,3.25,-0.2883,0.0208,107.07,1235180000.00,0.00,-0.2425
422,RPAD3,28.92,7.20,0.59,0.000,0.00,0.591,57.13,-148.10,57.76,-144.93,-144.93,0.00,0.00,4.26,-0.004,0.0205,2161.37,1028950000.00,0.00,-0.0694
423,ARZZ3,29.11,78.09,5.44,3.680,0.0104,2.824,16.34,34.26,467.56,34.80,24.89,0.1074,0.1264,1.55,0.1122,0.1868,62628500.00,1430980000.00,0.36,0.1001
424,VIVA3,29.55,26.83,5.04,5.428,0.0059,2.913,7.40,22.34,16.01,21.84,17.82,0.2429,0.1837,2.87,0.175,0.1706,34643600.00,1256580000.00,0.23,0.00
425,RAIZ4,30.96,6.37,6.50,0.611,0.00,0.876,39.61,19.29,-2.09,26.57,18.57,0.0317,0.02,1.05,0.0591,0.2098,67548300.00,10152300000.00,2.96,0.00
426,LIPR3,31.45,69.00,3.96,0.000,0.0293,3.436,11.98,-134.27,13.53,-119.90,-120.02,0.00,0.00,3.85,-0.0405,0.1261,3723.26,204762000.00,0.00,0.00
427,CSED3,32.85,6.50,1.73,1.378,0.0232,0.515,3.05,8.91,-1.25,9.28,5.53,0.1547,0.042,2.41,0.0771,0.0527,5820420.00,1434860000.00,0.87,0.00
428,CCRO3,33.83,11.53,2.84,2.018,0.0078,0.641,14.91,7.65,-1.22,12.31,6.13,0.2638,0.0695,1.22,0.1038,0.0839,160663000.00,8207170000.00,2.51,0.0267
429,GPAR3,34.48,50.00,2.54,16.323,0.0101,1.836,5.67,17.57,17.82,17.10,17.10,0.929,0.4734,6.92,0.1159,0.0735,3710.98,1536910000.00,0.07,-0.1445
430,RPAD5,34.67,8.63,0.71,0.000,0.0635,0.708,68.48,-177.51,69.23,-174.35,-174.35,0.00,0.00,4.26,-0.004,0.0205,887.28,1028950000.00,0.00,-0.0694
431,MOSI3,35.49,11.55,2.19,6.426,0.0001,2.045,2.68,47.09,2.69,29.73,24.40,0.1364,0.1811,13.23,0.2098,0.0617,23456100.00,667520000.00,0.00,0.00
432,MILS3,35.60,5.10,1.17,2.115,0.0206,0.866,3.12,17.19,6.29,15.59,5.37,0.1231,0.0594,3.38,0.0697,0.0327,9071940.00,1103100000.00,0.22,0.2325
433,BMKS3,35.92,229.99,0.55,4.463,0.0345,0.485,0.66,-147.31,0.76,45.95,-32.46,-0.0303,0.1243,34.00,-0.0097,0.0153,123405.00,190531000.00,0.01,0.0883
434,LUXM4,36.26,80.99,4.37,3.752,0.0198,2.779,25.29,25.68,-23.37,25.62,13.45,0.1461,0.1035,1.81,0.1298,0.1205,44143.50,96314000.00,0.22,0.0263
435,MERC4,36.39,10.50,0.76,0.000,0.0492,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0209,5218.35,248128000.00,0.00,-0.3422
436,DMVF3,37.66,6.00,0.37,0.293,0.00,0.210,3.05,3.43,-1.47,2.74,1.41,0.0854,0.0078,1.31,0.0763,0.0098,746736.00,824765000.00,0.09,0.00
437,SYNE3,38.70,12.07,1.12,3.725,0.0827,0.357,3.78,7.14,-1.29,11.25,8.81,0.522,0.277,2.68,0.0576,0.029,6490080.00,1641230000.00,1.05,0.0129
438,CPLE5,38.79,49.89,6.77,6.750,0.0316,2.882,448.36,33.61,-8.16,35.62,28.83,0.2009,0.1782,1.03,0.0929,0.1745,3858.93,20171700000.00,0.48,0.1165
439,TFCO4,41.13,12.46,8.95,5.753,0.0186,5.232,9.87,29.01,15.88,29.18,27.98,0.1983,0.1399,3.47,0.2416,0.2177,2504060.00,222248000.00,0.34,0.00
440,ALSO3,41.27,19.88,0.80,6.528,0.0114,0.489,5.86,16.46,-3.26,19.38,12.22,0.3965,0.1973,2.54,0.0328,0.0193,29597800.00,6631100000.00,0.29,0.3039
441,YDUQ3,41.30,22.65,2.15,1.674,0.0207,0.726,6.37,15.06,-2.12,21.81,9.23,0.1111,0.0405,1.56,0.0623,0.052,68288600.00,3261920000.00,1.56,0.0505
442,NGRD3,41.54,4.02,2.05,4.196,0.0031,1.429,3.01,24.70,4.76,18.73,13.11,0.1699,0.101,4.71,0.1188,0.0493,9475530.00,468482000.00,0.22,0.00
443,BRML3,41.57,7.18,0.59,6.711,0.00,0.323,4.65,11.54,-1.04,16.00,14.91,0.5815,0.126,2.53,0.0309,0.0141,139774000.00,10691900000.00,0.40,-0.0705
444,CEGR3,41.60,60.05,13.91,4.507,0.00,4.258,-362.26,24.04,-10.60,25.17,20.66,0.1875,0.1083,0.96,0.2285,0.3344,1681.51,1121010000.00,1.05,0.0109
445,VAMO3,44.29,12.54,7.99,5.908,0.00,2.400,77.52,24.26,-5.14,28.34,17.89,0.2435,0.1334,1.15,0.1242,0.1804,50282600.00,1533840000.00,1.56,0.6431
446,BPAC3,44.60,13.95,4.57,0.000,0.0076,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1024,154030.00,35043600000.00,0.00,0.2715
447,AMBP3,45.72,38.63,3.85,4.275,0.0024,1.184,5.02,23.64,-4.41,28.85,19.08,0.1809,0.0974,2.46,0.0689,0.0842,100842000.00,1133590000.00,1.64,0.00
448,RAIL3,47.32,16.58,1.99,4.005,0.00,0.720,7.20,14.52,-1.63,19.90,10.88,0.2758,0.0864,2.13,0.0568,0.0421,213390000.00,15449300000.00,1.05,0.1096
