Posicao,acao,PL,cotacao,PVP,PSR,DY,PAtivo,PCapGiro,PEBIT,PACL,EVEBIT,EVEBITDA,MrgEbit,MrgLiq,LiqCorr,ROIC,ROE,Liq2meses,PatLiq,DivBrutPat,Cresc5anos
235,RNEW11,6.96,8.15,-0.35,3.128,0.00,0.113,0.66,-4.14,-0.13,-24.82,-27.45,-0.756,0.4491,1.58,-0.0323,-0.0506,140146.00,-844112000.00,-2.18,-0.4987
236,BEES3,7.02,4.92,0.87,0.000,0.0562,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.124,92731.20,1784820000.00,0.00,0.0546
237,PATI3,7.04,75.00,2.31,0.787,0.0241,1.035,1.81,4.57,3.48,5.05,4.92,0.172,0.1118,3.06,0.3695,0.3287,9241.67,775720000.00,0.74,0.2626
238,WIZS3,7.05,10.63,4.09,1.831,0.0573,1.693,28.43,3.80,-10.72,3.16,2.89,0.4812,0.2726,1.17,0.6827,0.5808,46140400.00,415181000.00,0.00,0.1714
239,RNEW4,7.10,2.77,-0.36,3.189,0.00,0.115,0.67,-4.22,-0.13,-24.90,-27.54,-0.756,0.4491,1.58,-0.0323,-0.0506,712465.00,-844112000.00,-2.18,-0.4987
240,CGRA3,7.15,46.50,1.31,1.690,0.0416,0.955,3.14,10.49,4.39,9.17,7.71,0.1611,0.2365,2.64,0.1169,0.1834,79889.60,695229000.00,0.00,0.0655
241,HBOR3,7.15,5.30,0.54,0.680,0.009,0.166,0.35,12.38,1.41,28.01,20.81,0.0549,0.1473,3.09,0.0152,0.0752,8062140.00,1319010000.00,1.00,0.2263
242,TRIS3,7.16,6.68,1.02,1.354,0.0361,0.558,1.03,6.32,1.52,6.83,6.80,0.2143,0.2068,3.20,0.1096,0.1418,12833800.00,1227020000.00,0.39,0.2676
243,ROMI3,7.23,18.32,1.58,1.133,0.089,0.751,2.42,8.23,8.61,10.35,8.32,0.1377,0.157,2.03,0.1108,0.2182,10435400.00,851726000.00,0.60,0.1682
244,RNEW3,7.38,2.88,-0.37,3.316,0.00,0.120,0.70,-4.39,-0.14,-25.07,-27.73,-0.756,0.4491,1.58,-0.0323,-0.0506,248096.00,-844112000.00,-2.18,-0.4987
245,ATOM3,7.44,4.20,4.94,2.489,0.0714,3.197,3.38,7.90,5.11,6.69,6.65,0.3152,0.3345,30.27,0.8204,0.664,165319.00,17763000.00,0.00,0.6669
246,MRVE3,7.53,10.54,0.88,0.738,0.0453,0.266,1.00,6.52,-1.34,11.30,9.72,0.1132,0.1067,2.26,0.0449,0.1166,84331400.00,5800170000.00,0.84,0.1183
247,AURA33,7.57,55.48,2.72,2.363,0.0826,1.469,11.12,5.53,-17.54,5.48,5.48,0.4273,0.3122,1.54,0.3915,0.3588,6456170.00,1445150000.00,0.31,0.00
248,LIGT3,7.59,10.82,0.48,0.280,0.0408,0.142,0.68,1.92,-0.43,4.93,3.84,0.1456,0.0369,2.23,0.10,0.0634,34747300.00,8383610000.00,1.48,0.0835
249,UNIP5,7.66,78.10,3.72,1.534,0.1029,1.503,6.09,4.84,-11.24,4.63,4.09,0.317,0.2024,2.17,0.4315,0.4858,22287.10,1981560000.00,0.39,0.1953
250,BBDC3,7.77,17.41,1.16,0.000,0.0604,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1487,133034000.00,146488000000.00,0.00,0.2919
251,EQTL3,7.81,23.14,2.21,1.237,0.0311,0.538,3.01,4.60,-1.53,6.50,5.72,0.2691,0.1875,1.97,0.1511,0.2831,164393000.00,10569500000.00,1.68,0.2572
252,CIEL3,7.82,2.36,0.65,1.328,0.0494,0.077,1.23,7.59,-3.18,8.86,5.61,0.175,0.1699,1.08,0.0577,0.0836,90103800.00,9807280000.00,0.71,-0.1705
253,MTSA4,7.83,44.50,1.36,0.874,0.0489,0.982,1.87,6.68,1.98,6.26,5.49,0.1308,0.1116,3.13,0.1875,0.1732,155749.00,299919000.00,0.14,0.1833
254,UNIP6,7.89,80.42,3.83,1.579,0.0999,1.547,6.27,4.98,-11.57,4.77,4.22,0.317,0.2024,2.17,0.4315,0.4858,24271700.00,1981560000.00,0.39,0.1953
255,ITSA3,7.92,10.51,1.45,11.923,0.0299,1.115,15.76,72.70,-21.35,74.00,46.91,0.164,1.6184,2.16,0.017,0.1827,2736560.00,61112000000.00,0.13,0.0904
